id,category,scene,page_url,image_url,creator,license,license_url,curated_on,coco_lineage_check,original_path,test_path,original_format,original_mode,original_width,original_height,embedded_icc,crop_box_ltrb,test_width,test_height,test_mode,test_format,test_bit_depth,test_icc_profile,test_has_alpha,mean_channel_difference,visual_grayscale_flag,edge_variance,original_sha256,test_sha256,crop_scale,focus_y,focus_x
camera_01,camera,empty urban street,https://unsplash.com/photos/empty-road-between-high-rise-buildings-during-daytime-2Hzzw1qfVTQ,https://images.unsplash.com/photo-1587151588841-19af95d8413a,Claudio Schwarz,Unsplash License,https://unsplash.com/license,2026-08-25,Unsplash source (non-Flickr); selected independently; not added to train/val,D:/coding/FOT/datasets/fot_real50/originals/camera/camera_01.jpg,D:/coding/FOT/datasets/fot_real50/test_512/camera/camera_01.png,JPEG,RGB,5304,7952,True,"0,1324,5304,6628",512,512,RGB,PNG,8,sRGB,False,11.009,False,3252.579,e4130ca31e8086784acc49f4464eb0bcfac056534d3d0689c6564b0e670c9492,e6157756661593b5450065ea09978a9b22556ca4fc3c899424bb530ffbfd262d,,,
camera_02,camera,city crosswalk and skyline,https://unsplash.com/photos/a-city-street-with-tall-buildings-and-a-crosswalk-OQEuqEXclTM,https://images.unsplash.com/photo-1652557120948-2c15a9712311,Emilie Christensen,Unsplash License,https://unsplash.com/license,2026-08-25,Unsplash source (non-Flickr); selected independently; not added to train/val,D:/coding/FOT/datasets/fot_real50/originals/camera/camera_02.jpg,D:/coding/FOT/datasets/fot_real50/test_512/camera/camera_02.png,JPEG,RGB,3024,4032,True,"0,504,3024,3528",512,512,RGB,PNG,8,sRGB,False,15.163,False,4706.487,11d52180993c85b53a033698a00b5fa35ae975ba7b007f0e0b385c5f89d531a8,a483facaa28550a0034ea5ef7d36140e93a16b16cb158daad4fca98a8eeb647b,,,
camera_03,camera,street facade and crossing,https://unsplash.com/photos/4GvaO6VdNFE,https://images.unsplash.com/photo-1719004078137-c28c694e16b1,Pavel Starikov,Unsplash License,https://unsplash.com/license,2026-08-25,Unsplash source (non-Flickr); selected independently; not added to train/val,D:/coding/FOT/datasets/fot_real50/originals/camera/camera_03.jpg,D:/coding/FOT/datasets/fot_real50/test_512/camera/camera_03.png,JPEG,RGB,4016,5020,True,"0,502,4016,4518",512,512,RGB,PNG,8,sRGB,False,28.497,False,3130.858,ea536f126d7dcee1e8fd9a06380a041995ba9cad3a02a2fbed0a9ad3132e289d,51f5e1598a06b3f9bcdf655d850f58ea49d1743e4951e114c6f55189e009b383,,,
camera_04,camera,museum corridor,https://unsplash.com/photos/ZpzIuxMIgp8,https://images.unsplash.com/photo-1650114363292-cdfa54b7fbc4,Amelia Vu,Unsplash License,https://unsplash.com/license,2026-08-25,Unsplash source (non-Flickr); selected independently; not added to train/val,D:/coding/FOT/datasets/fot_real50/originals/camera/camera_04.jpg,D:/coding/FOT/datasets/fot_real50/test_512/camera/camera_04.png,JPEG,RGB,3645,5467,True,"0,911,3645,4556",512,512,RGB,PNG,8,sRGB,False,35.327,False,690.201,6d282c388f34488e0aeba6a40d5daf5da77fdbb97fde829d124f74864e7bd3f1,7c3e9ccfbc42378870476eb0f21a705fa04ae82f27bc874e2cbcac502b1221c7,,,
camera_05,camera,sunlit architectural corridor,https://unsplash.com/photos/long-corridor-with-natural-light-shining-through-Wd1eNQXGLTQ,https://images.unsplash.com/photo-1744230447118-68dfa53bd717,Beth K.,Unsplash License,https://unsplash.com/license,2026-08-25,Unsplash source (non-Flickr); selected independently; not added to train/val,D:/coding/FOT/datasets/fot_real50/originals/camera/camera_05.jpg,D:/coding/FOT/datasets/fot_real50/test_512/camera/camera_05.png,JPEG,RGB,3575,5362,True,"0,894,3575,4469",512,512,RGB,PNG,8,sRGB,False,60.705,False,1963.867,78b8b0f3a542c9c3334010b3b7e1e7fd2cab1ab9f8df6f9a3e5f1c43eecb6728,92695944fbaaaa5c3d12e1ab57f07404d472ab84a629e2a027b5b0440954e425,,,
camera_06,camera,alpine meadow layers,https://unsplash.com/photos/a-mountain-range-with-a-grassy-field-in-the-foreground-jqAj1dnOpkw,https://images.unsplash.com/photo-1690263914767-963579f9620c,Isaac Mitchell,Unsplash License,https://unsplash.com/license,2026-08-25,Unsplash source (non-Flickr); selected independently; not added to train/val,D:/coding/FOT/datasets/fot_real50/originals/camera/camera_06.jpg,D:/coding/FOT/datasets/fot_real50/test_512/camera/camera_06.png,JPEG,RGB,8185,5105,True,"1540,0,6645,5105",512,512,RGB,PNG,8,sRGB,False,43.657,False,2138.525,2384fa366f7d88168249cec81b41c548edf794e4bacb77dfb28fa4cb66a86cca,e09512c9adf5868bf15386f596dbd2cb5024dc1a6a6134ff8ea29a1cb43208ef,,,
camera_07,camera,mountain lake layers,https://unsplash.com/photos/a-mountain-range-with-a-lake-in-the-middle-of-it-V1b5zfwCvVk,https://images.unsplash.com/photo-1648406670272-fbcbcd09a2da,Jose Maria Corbacho,Unsplash License,https://unsplash.com/license,2026-08-25,Unsplash source (non-Flickr); selected independently; not added to train/val,D:/coding/FOT/datasets/fot_real50/originals/camera/camera_07.jpg,D:/coding/FOT/datasets/fot_real50/test_512/camera/camera_07.png,JPEG,RGB,4000,2250,True,"875,0,3125,2250",512,512,RGB,PNG,8,sRGB,False,18.765,False,1232.453,464d80c3b2ab5278ec811b35e62809a69219736585801dfcab65f9bcddf658cf,83134f9a9a46c55f5aa1ff5cba81e1e01917fd53cfa7f4641202ab55dde05adf,,,
camera_08,camera,modern lounge,https://unsplash.com/photos/two-armchairs-and-a-table-in-a-bright-room-TVQpB6SxHEc,https://images.unsplash.com/photo-1744895331034-fca163a37e21,Haberdoedas,Unsplash License,https://unsplash.com/license,2026-08-25,Unsplash source (non-Flickr); selected independently; not added to train/val,D:/coding/FOT/datasets/fot_real50/originals/camera/camera_08.jpg,D:/coding/FOT/datasets/fot_real50/test_512/camera/camera_08.png,JPEG,RGB,10021,5637,True,"2192,0,7829,5637",512,512,RGB,PNG,8,sRGB,False,32.592,False,1679.36,ec1a0bc496eb6849ffdebbd72ebc52ff7c9308858ebaff442f00914b2e6212d6,da696d5e3b5dc41ce79d0c2d12aee6f55b15672d8a7cdf7d24e498054175ca48,,,
camera_09,camera,open living room,https://unsplash.com/photos/interior-of-a-living-room-XyGvEj587Mc,https://images.unsplash.com/photo-1560185009-5bf9f2849488,Francesca Tosolini,Unsplash License,https://unsplash.com/license,2026-08-25,Unsplash source (non-Flickr); selected independently; not added to train/val,D:/coding/FOT/datasets/fot_real50/originals/camera/camera_09.jpg,D:/coding/FOT/datasets/fot_real50/test_512/camera/camera_09.png,JPEG,RGB,5472,3648,True,"912,0,4560,3648",512,512,RGB,PNG,8,sRGB,False,42.53,False,3040.013,6e0cfa26d106cbd5c31c5a54171da35abd99ff13a0dcbf8f845953bedfb53a04,a02082eb7bab26b7cae4140aced962af5be58821b83d4152a1a7e8fb506e2dcd,,,
camera_10,camera,bedroom with window depth,https://unsplash.com/photos/a-bedroom-with-a-large-bed-and-a-large-window-6Ldk-ZeMg6c,https://images.unsplash.com/photo-1736386347833-e720f2b8508c,Neon Wang,Unsplash License,https://unsplash.com/license,2026-08-25,Unsplash source (non-Flickr); selected independently; not added to train/val,D:/coding/FOT/datasets/fot_real50/originals/camera/camera_10.jpg,D:/coding/FOT/datasets/fot_real50/test_512/camera/camera_10.png,JPEG,RGB,6000,4500,True,"750,0,5250,4500",512,512,RGB,PNG,8,sRGB,False,31.82,False,3177.293,d8b94a4dd7d224e879cd62b69d2bda931468c12783d441a397e27b10a207886f,f567de2e554bcaeda68f057639152e77c4cb42290499859b9083eb54e414d64f,,,
animal_01,animal,small dog on lawn,https://unsplash.com/photos/white-and-brown-long-coat-small-dog-running-on-green-grass-field-during-daytime-HiMmtxqJo2k,https://images.unsplash.com/photo-1608471193091-deb09307b808,Gregor McEwan,Unsplash License,https://unsplash.com/license,2026-08-25,Unsplash source (non-Flickr); selected independently; not added to train/val,D:/coding/FOT/datasets/fot_real50/originals/animal/animal_01.jpg,D:/coding/FOT/datasets/fot_real50/test_512/animal/animal_01.png,JPEG,RGB,4032,2268,True,"882,0,3150,2268",512,512,RGB,PNG,8,sRGB,False,69.905,False,1981.58,02d0e66f2e93be563c529b33a54c00bfb49da4bba83199b06f9c95901ca75f57,c2d9015285e586fd6f03810f21754fdce66a667cfdc08ea2f8cb6f8a610565ca,,,
animal_02,animal,dog standing on grass,https://unsplash.com/photos/white-and-brown-short-coated-dog-on-green-grass-field-during-daytime-9D8LiPXxTK4,https://images.unsplash.com/photo-1613478304143-1b559607eb38,Mathias Reding,Unsplash License,https://unsplash.com/license,2026-08-25,Unsplash source (non-Flickr); selected independently; not added to train/val,D:/coding/FOT/datasets/fot_real50/originals/animal/animal_02.jpg,D:/coding/FOT/datasets/fot_real50/test_512/animal/animal_02.png,JPEG,RGB,5118,2638,True,"1240,0,3878,2638",512,512,RGB,PNG,8,sRGB,False,42.503,False,1147.821,c5f4909d4e166ab647df6b487b22678fb7511815fb575e0f9141b3090b6cf08c,a6d00718f83e59d787f66e4c8d9dd681c893ec24476d947915ecba72d03d7e74,,,
animal_03,animal,brown dog in field,https://unsplash.com/photos/a-brown-dog-standing-on-top-of-a-lush-green-field-rJJetlZngGM,https://images.unsplash.com/photo-1700406539050-261f86b2bbb1,Simon Moog,Unsplash License,https://unsplash.com/license,2026-08-25,Unsplash source (non-Flickr); selected independently; not added to train/val,D:/coding/FOT/datasets/fot_real50/originals/animal/animal_03.jpg,D:/coding/FOT/datasets/fot_real50/test_512/animal/animal_03.png,JPEG,RGB,4000,6000,True,"0,1000,4000,5000",512,512,RGB,PNG,8,sRGB,False,48.492,False,2094.663,9dc962d96e03b0549c61c50591a62b3ca0b3890ece61458ed4568ee28e2cae7c,6458ec35c41dd61ae88fcb9572830ab4bef471b29c59193803527a39fc953989,,,
animal_04,animal,ginger cat by path,https://unsplash.com/photos/3Bs-kfhXmMU,https://images.unsplash.com/photo-1748054775355-9fccc5ef2665,Martin Baron,Unsplash License,https://unsplash.com/license,2026-08-25,Unsplash source (non-Flickr); selected independently; not added to train/val,D:/coding/FOT/datasets/fot_real50/originals/animal/animal_04.jpg,D:/coding/FOT/datasets/fot_real50/test_512/animal/animal_04.png,JPEG,RGB,4672,4672,True,"701,701,3971,3971",512,512,RGB,PNG,8,sRGB,False,22.396,False,858.252,0f0fbfde8276ebee06d4e0a0f630be736dfae4852aee4fb39a949db19048570a,84f6c7319f605b6cd82170f8b422215e7e6fbf05d1004298a9ab2bd22b7e0f9c,0.7,,
animal_05,animal,black-white cat on gravel,https://unsplash.com/photos/a-black-and-white-cat-sitting-on-a-gravel-road-6luPhwxlbzM,https://images.unsplash.com/photo-1687082377527-db2bfa20def0,Raphael GB,Unsplash License,https://unsplash.com/license,2026-08-25,Unsplash source (non-Flickr); selected independently; not added to train/val,D:/coding/FOT/datasets/fot_real50/originals/animal/animal_05.jpg,D:/coding/FOT/datasets/fot_real50/test_512/animal/animal_05.png,JPEG,RGB,3456,4608,True,"0,576,3456,4032",512,512,RGB,PNG,8,sRGB,False,12.777,False,2094.486,0921ecb01c108533a31a446943ae9f518ebf413125fc78d68333a5f82e16c134,fc8b138a3569e20b19435b005f7bbc8482a1b8912a09a7b9e2fc01f22eeedc86,,,
animal_06,animal,calico cat in grass,https://unsplash.com/photos/a-cat-sitting-on-the-ground-in-the-grass-UfSSuOLMK-c,https://images.unsplash.com/photo-1719481144013-52a710c7a58a,Jim,Unsplash License,https://unsplash.com/license,2026-08-25,Unsplash source (non-Flickr); selected independently; not added to train/val,D:/coding/FOT/datasets/fot_real50/originals/animal/animal_06.jpg,D:/coding/FOT/datasets/fot_real50/test_512/animal/animal_06.png,JPEG,RGB,3456,4608,True,"0,576,3456,4032",512,512,RGB,PNG,8,sRGB,False,20.749,False,2412.248,8576df7773047ae962bae8b8fe824c410785781ac8fef580bdc460c09bfe0859,e76df1c39fba78ab52ce592d170c1a2de495b01aa8035d66bc69416e55523507,,,
animal_07,animal,green bird on branch,https://unsplash.com/photos/a-small-green-bird-sitting-on-top-of-a-tree-branch-vrqY-23_PxQ,https://images.unsplash.com/photo-1637243812271-35cc8b21d40a,Nijaguna S,Unsplash License,https://unsplash.com/license,2026-08-25,Unsplash source (non-Flickr); selected independently; not added to train/val,D:/coding/FOT/datasets/fot_real50/originals/animal/animal_07.jpg,D:/coding/FOT/datasets/fot_real50/test_512/animal/animal_07.png,JPEG,RGB,8688,5792,True,"3041,1593,5647,4199",512,512,RGB,PNG,8,sRGB,False,28.572,False,1878.256,aa23bda85ade0dd4f3b646d768e057ba542bf0d9a5fd0204c3fe5de38bf4fb73,a2ff67b9c50ad572ec0b81b98affc49af5b561559c83f7d5ff244f55e1c4753c,0.45,,
animal_08,animal,gray bird on branch,https://unsplash.com/photos/a-small-bird-perched-on-a-tree-branch-ydLMDG3g2ic,https://images.unsplash.com/photo-1695185577087-e1c21ffa9df3,Anik Deb Nath,Unsplash License,https://unsplash.com/license,2026-08-25,Unsplash source (non-Flickr); selected independently; not added to train/val,D:/coding/FOT/datasets/fot_real50/originals/animal/animal_08.jpg,D:/coding/FOT/datasets/fot_real50/test_512/animal/animal_08.png,JPEG,RGB,3677,2451,True,"1226,612,2452,1838",512,512,RGB,PNG,8,sRGB,False,88.617,False,1506.21,e0b156cbc94c5d4600cad261088122702c3940a33f7452540b6b9861a9668919,fbfe7fd8bdb3d2ae2d615d3a963e29f160a74ba104cba6dc3f2d514334ce249d,0.5,,
animal_09,animal,horse in meadow,https://unsplash.com/photos/m36GxSXnh0s,https://images.unsplash.com/photo-1719932397917-f3c5fdd199e5,Vlad Kutepov,Unsplash License,https://unsplash.com/license,2026-08-25,Unsplash source (non-Flickr); selected independently; not added to train/val,D:/coding/FOT/datasets/fot_real50/originals/animal/animal_09.jpg,D:/coding/FOT/datasets/fot_real50/test_512/animal/animal_09.png,JPEG,RGB,5472,3648,True,"912,0,4560,3648",512,512,RGB,PNG,8,sRGB,False,41.112,False,1137.602,7626bf78f5cac139cfc8e78f261e304babfacb67741d21fd016ef09797811cf7,3e2e0e84573a1b0eaad5b2229c037686076cf417d7f21050372b609b7ebd58b8,,,
animal_10,animal,horse on sloping field,https://unsplash.com/photos/a-horse-standing-on-a-lush-green-field-fQH0G0Q7fZE,https://images.unsplash.com/photo-1655619482182-e7810953e97d,Francesco Tommasini,Unsplash License,https://unsplash.com/license,2026-08-25,Unsplash source (non-Flickr); selected independently; not added to train/val,D:/coding/FOT/datasets/fot_real50/originals/animal/animal_10.jpg,D:/coding/FOT/datasets/fot_real50/test_512/animal/animal_10.png,JPEG,RGB,4116,6174,True,"1461,3025,3313,4877",512,512,RGB,PNG,8,sRGB,False,64.013,False,1601.2,431ee67dbdf38f829e298a1e90583a685440e5f270f25a772fff2890a6abd078,12d3cef69857db62107bcb29bfd0a406f0e7bd2d749948f8d840b5a68c6ebb19,0.45,0.64,0.58
human_environment_01,human_environment,woman cooking at stove,https://unsplash.com/photos/woman-cooking-inside-kitchen-room-7MAjXGUmaPw,https://images.unsplash.com/photo-1556911220-e15b29be8c8f,Jason Briscoe,Unsplash License,https://unsplash.com/license,2026-08-25,Unsplash source (non-Flickr); selected independently; not added to train/val,D:/coding/FOT/datasets/fot_real50/originals/human_environment/human_environment_01.jpg,D:/coding/FOT/datasets/fot_real50/test_512/human_environment/human_environment_01.png,JPEG,RGB,6000,4000,True,"1000,0,5000,4000",512,512,RGB,PNG,8,sRGB,False,23.216,False,3487.587,45c9d44f961cff4400e6fbaac20a0f92d40a3a73bd2ca5f5f0476ab9d17e6e45,18b4dff03f38eb8c3ea865d5334371e5f0e6bec671804f5a4ec878cdd2b1a096,,,
human_environment_02,human_environment,man cooking at counter,https://unsplash.com/photos/man-standing-inside-kitchen-room-LJ8OnqaYUqw,https://images.unsplash.com/photo-1556908153-1055164fe2df,Le Creuset,Unsplash License,https://unsplash.com/license,2026-08-25,Unsplash source (non-Flickr); selected independently; not added to train/val,D:/coding/FOT/datasets/fot_real50/originals/human_environment/human_environment_02.jpg,D:/coding/FOT/datasets/fot_real50/test_512/human_environment/human_environment_02.png,JPEG,RGB,4000,6000,True,"0,1000,4000,5000",512,512,RGB,PNG,8,sRGB,False,21.624,False,3654.878,f8bf718287deb7bf4ccaca8e2b8d7fcd415422fe7ddf59b89f93289ec9666003,ca7ab2cf172b6c13ecdb6e6e218152dd6f6e3d64063496bdb47f26d298ad62d0,,,
human_environment_03,human_environment,woman reading on couch,https://unsplash.com/photos/woman-in-white-shirt-sitting-on-gray-couch-GY8e-gg9C5s,https://images.unsplash.com/photo-1602585182000-a0d40551d8a6,Toa Heftiba,Unsplash License,https://unsplash.com/license,2026-08-25,Unsplash source (non-Flickr); selected independently; not added to train/val,D:/coding/FOT/datasets/fot_real50/originals/human_environment/human_environment_03.jpg,D:/coding/FOT/datasets/fot_real50/test_512/human_environment/human_environment_03.png,JPEG,RGB,5204,3827,True,"830,459,3126,2755",512,512,RGB,PNG,8,sRGB,False,12.826,False,3230.491,c7365b3b58283fba4e2cac895b86617d7e885ec743a44ea1f8fca19ca450fd5b,d71ab46dc9148cd2b9bebf499a1ae68762eb66b5fa0f7774e7645a0cc2347bf7,0.6,0.42,0.38
human_environment_04,human_environment,person reading at table,https://unsplash.com/photos/man-in-black-suit-reading-book-OPCRuIeZIv4,https://images.unsplash.com/photo-1615360305259-d7a071ffa604,Dwi Agus Prasetiyo,Unsplash License,https://unsplash.com/license,2026-08-25,Unsplash source (non-Flickr); selected independently; not added to train/val,D:/coding/FOT/datasets/fot_real50/originals/human_environment/human_environment_04.jpg,D:/coding/FOT/datasets/fot_real50/test_512/human_environment/human_environment_04.png,JPEG,RGB,4000,6000,True,"0,1000,4000,5000",512,512,RGB,PNG,8,sRGB,False,17.811,False,2265.348,e5d1c1dd5088ff45379a77d217ae33a69debd28181dc68913403ab240f561004,48fe332a282c23bc9207a5bb3c20f1b77068b1091ee11a94890d4882276a5f3c,,,
human_environment_05,human_environment,machine assembly at workbench,https://unsplash.com/photos/a-man-sitting-at-a-bar-working-on-a-machine-DjQDmpt0Tl0,https://images.unsplash.com/photo-1737254265432-945ae74450b3,Brian J. Tromp,Unsplash License,https://unsplash.com/license,2026-08-25,Unsplash source (non-Flickr); selected independently; not added to train/val,D:/coding/FOT/datasets/fot_real50/originals/human_environment/human_environment_05.jpg,D:/coding/FOT/datasets/fot_real50/test_512/human_environment/human_environment_05.png,JPEG,RGB,4240,2384,True,"928,0,3312,2384",512,512,RGB,PNG,8,sRGB,False,10.963,False,2149.731,d8454b3fa98a54a73553e1128e90e52e334ac054b06aa7fb6ff21e8ed16d307f,41600a1f00657f10835e33b3cd898b06e77772ce8449ad14ce4aa3342979f80d,,,
human_environment_06,human_environment,bicycle repair,https://unsplash.com/photos/JcYh9G4sJPs,https://images.unsplash.com/photo-1668594864261-dcb0eaa3644b,Anton Savinov,Unsplash License,https://unsplash.com/license,2026-08-25,Unsplash source (non-Flickr); selected independently; not added to train/val,D:/coding/FOT/datasets/fot_real50/originals/human_environment/human_environment_06.jpg,D:/coding/FOT/datasets/fot_real50/test_512/human_environment/human_environment_06.png,JPEG,RGB,6000,4000,True,"600,700,3600,3700",512,512,RGB,PNG,8,sRGB,False,27.1,False,4668.721,d78cd40245ba8ed4a109a9f9b8572d17a80886934fc613a63ae3d2f539c9ce38,9697e982516aa5e39c69661f3466e20c0bdc1dc388262728fb0db141080a313d,0.75,0.55,0.35
human_environment_07,human_environment,leg press at gym,https://unsplash.com/photos/ggnFUOPpKls,https://images.unsplash.com/photo-1738524108085-ac08ffa1048c,Ali Choubin,Unsplash License,https://unsplash.com/license,2026-08-25,Unsplash source (non-Flickr); selected independently; not added to train/val,D:/coding/FOT/datasets/fot_real50/originals/human_environment/human_environment_07.jpg,D:/coding/FOT/datasets/fot_real50/test_512/human_environment/human_environment_07.png,JPEG,RGB,4672,7008,True,"0,1168,4672,5840",512,512,RGB,PNG,8,sRGB,False,14.583,False,1361.903,47c1dc2b7c12e8600525ce1866dad15df31a35fad902a9288ded0c05581e2a76,d67e6c81c7b4c3519c77545f0ae0a313bc92a2fb4dbbea95e8220fcc1fbf0be1,,,
